Region,Country,Indicator,Input,Date
Europe,Romania,Ratification of the UN Convention against Torture,Yes,1990
Europe,San Marino,Ratification of the UN Convention against Torture,Yes,2006
Europe,Serbia,Ratification of the UN Convention against Torture,Yes,2001
Europe,Slovakia,Ratification of the UN Convention against Torture,Yes,1993
Europe,Slovenia,Ratification of the UN Convention against Torture,Yes,1993
Europe,Spain,Ratification of the UN Convention against Torture,Yes,1987
Europe,Sweden,Ratification of the UN Convention against Torture,Yes,1986
Europe,Switzerland,Ratification of the UN Convention against Torture,Yes,1986
Europe,United Kingdom,Ratification of the UN Convention against Torture,Yes,1988
Europe,Malta,Ratification of the UN Convention against Torture,Yes,1990
Europe,Monaco,Ratification of the UN Convention against Torture,Yes,1991
Europe,Montenegro,Ratification of the UN Convention against Torture,Yes,2006
Europe,Netherlands,Ratification of the UN Convention against Torture,Yes,1988
Europe,Norway,Ratification of the UN Convention against Torture,Yes,1986
Europe,Poland,Ratification of the UN Convention against Torture,Yes,1989
Europe,Portugal,Ratification of the UN Convention against Torture,Yes,1989
Europe,Republic of Moldova,Ratification of the UN Convention against Torture,Yes,1995
Europe,Russia,Ratification of the UN Convention against Torture,Yes,1987
Europe,Turkey,Ratification of the UN Convention against Torture,Yes,1988
Europe,Ukraine,Ratification of the UN Convention against Torture,Yes,1987
Middle East,Bahrain,Ratification of the UN Convention against Torture,Yes,1998
Middle East,Egypt,Ratification of the UN Convention against Torture,Yes,1986
Middle East,Iran,Ratification of the UN Convention against Torture,No,
Middle East,Iraq,Ratification of the UN Convention against Torture,Yes,2011
Middle East,Israel,Ratification of the UN Convention against Torture,Yes,1991
Middle East,Jordan,Ratification of the UN Convention against Torture,Yes,1991
Middle East,Kuwait,Ratification of the UN Convention against Torture,Yes,1996
Middle East,Lebanon,Ratification of the UN Convention against Torture,Yes,2008
Middle East,Libya,Ratification of the UN Convention against Torture,Yes,1989
Middle East,Morocco,Ratification of the UN Convention against Torture,Yes,1993
Middle East,State of Palestine,Ratification of the UN Convention against Torture,Yes,2014
Middle East,Oman,Ratification of the UN Convention against Torture,Yes,2020
Middle East,Qatar,Ratification of the UN Convention against Torture,Yes,2000
Middle East,Saudi Arabia,Ratification of the UN Convention against Torture,Yes,1997
Middle East,Syria ,Ratification of the UN Convention against Torture,Yes,2004
Middle East,Tunisia,Ratification of the UN Convention against Torture,Yes,1988
Middle East,United Arab Emirates,Ratification of the UN Convention against Torture,Yes,2012
Middle East,Yemen,Ratification of the UN Convention against Torture,Yes,1991
Asia-Pacific,Afghanistan,Ratification of the UN Convention against Torture,Yes,1987
Asia-Pacific,Australia,Ratification of the UN Convention against Torture,Yes,1989
Asia-Pacific,Azerbaijan,Ratification of the UN Convention against Torture,Yes,1996
Asia-Pacific,Bangladesh,Ratification of the UN Convention against Torture,Yes,1998
Asia-Pacific,Bhutan,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Brunei Darussalam,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Cambodia,Ratification of the UN Convention against Torture,Yes,1992
Asia-Pacific,China,Ratification of the UN Convention against Torture,Yes,1988
Asia-Pacific,Cook Islands,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Fiji,Ratification of the UN Convention against Torture,Yes,2016
Asia-Pacific,Democratic People's Republic of Korea,Ratification of the UN Convention against Torture,No,
Asia-Pacific,India,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Indonesia,Ratification of the UN Convention against Torture,Yes,1998
Asia-Pacific,Japan,Ratification of the UN Convention against Torture,Yes,1999
Asia-Pacific,Kazakhstan,Ratification of the UN Convention against Torture,Yes,1998
Asia-Pacific,Kiribati,Ratification of the UN Convention against Torture,Yes,2019
Asia-Pacific,Kyrgyzstan,Ratification of the UN Convention against Torture,Yes,1997
Asia-Pacific,Lao People's Democratic Republic,Ratification of the UN Convention against Torture,Yes,2012
Asia-Pacific,Marshall Islands,Ratification of the UN Convention against Torture,Yes,2018
Asia-Pacific,Malaysia,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Maldives,Ratification of the UN Convention against Torture,Yes,2004
Asia-Pacific,Micronesia,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Mongolia,Ratification of the UN Convention against Torture,Yes,2002
Asia-Pacific,Myanmar,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Nauru,Ratification of the UN Convention against Torture,Yes,2012
Asia-Pacific,Nepal,Ratification of the UN Convention against Torture,Yes,1991
Asia-Pacific,New Zealand,Ratification of the UN Convention against Torture,Yes,1989
Asia-Pacific,Niue,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Palau,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Papua New Guinea,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Pakistan,Ratification of the UN Convention against Torture,Yes,2010
Asia-Pacific,Philippines,Ratification of the UN Convention against Torture,Yes,1986
Asia-Pacific,Republic of Korea,Ratification of the UN Convention against Torture,Yes,1995
Asia-Pacific,Samoa,Ratification of the UN Convention against Torture,Yes,2019
Asia-Pacific,Solomon Islands,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Singapore,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Sri Lanka,Ratification of the UN Convention against Torture,Yes,1994
Asia-Pacific,Tajikistan,Ratification of the UN Convention against Torture,Yes,1995
Asia-Pacific,Thailand,Ratification of the UN Convention against Torture,Yes,2007
Asia-Pacific,Timor-Leste,Ratification of the UN Convention against Torture,Yes,2003
Asia-Pacific,Tonga,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Turkmenistan,Ratification of the UN Convention against Torture,Yes,1999
Asia-Pacific,Tuvalu,Ratification of the UN Convention against Torture,No,
Asia-Pacific,Uzbekistan,Ratification of the UN Convention against Torture,Yes,1995
Asia-Pacific,Vanuatu,Ratification of the UN Convention against Torture,Yes,2011
Asia-Pacific,Viet Nam,Ratification of the UN Convention against Torture,Yes,2015
Americas,Antigua and Barbuda,Ratification of Optional Protocol (OPCAT),No,
Americas,Argentina,Ratification of Optional Protocol (OPCAT),Yes,2004
Americas,Bahamas,Ratification of Optional Protocol (OPCAT),No,
Americas,Barbados,Ratification of Optional Protocol (OPCAT),No,
Americas,Belize,Ratification of Optional Protocol (OPCAT),Yes,2015
Americas,Bolivia,Ratification of Optional Protocol (OPCAT),Yes,2006
Americas,Brazil,Ratification of Optional Protocol (OPCAT),Yes,2008
Americas,Canada,Ratification of Optional Protocol (OPCAT),No,
Americas,Chile,Ratification of Optional Protocol (OPCAT),Yes,2008
Americas,Colombia,Ratification of Optional Protocol (OPCAT),No,
Americas,Costa Rica,Ratification of Optional Protocol (OPCAT),Yes,2005
Americas,Cuba,Ratification of Optional Protocol (OPCAT),No,
Americas,Dominica,Ratification of Optional Protocol (OPCAT),No,
Americas,Dominican Republic,Ratification of Optional Protocol (OPCAT),No,
Americas,Ecuador,Ratification of Optional Protocol (OPCAT),Yes,2010
Americas,El Salvador,Ratification of Optional Protocol (OPCAT),No,
Americas,Grenada,Ratification of Optional Protocol (OPCAT),No,
Americas,Guatemala,Ratification of Optional Protocol (OPCAT),Yes,2008
Americas,Guyana,Ratification of Optional Protocol (OPCAT),No,
Americas,Haiti,Ratification of Optional Protocol (OPCAT),No,
Americas,Honduras,Ratification of Optional Protocol (OPCAT),Yes,2006
Americas,Jamaica,Ratification of Optional Protocol (OPCAT),No,
Americas,Mexico,Ratification of Optional Protocol (OPCAT),Yes,2005
Americas,Nicaragua,Ratification of Optional Protocol (OPCAT),Yes,2005
Americas,Panama,Ratification of Optional Protocol (OPCAT),Yes,2011
Americas,Paraguay,Ratification of Optional Protocol (OPCAT),Yes,2005
Americas,Peru,Ratification of Optional Protocol (OPCAT),Yes,2006
Americas,Saint Kitts and Nevis,Ratification of Optional Protocol (OPCAT),No,
Americas,Saint Lucia,Ratification of Optional Protocol (OPCAT),No,
Americas,Saint Vincent and the Grenadines,Ratification of Optional Protocol (OPCAT),No,
Americas,Suriname,Ratification of Optional Protocol (OPCAT),No,
Americas,Trinidad and Tobago,Ratification of Optional Protocol (OPCAT),No,
Americas,United States,Ratification of Optional Protocol (OPCAT),No,
Americas,Uruguay,Ratification of Optional Protocol (OPCAT),Yes,2005
Americas,Venezuela,Ratification of Optional Protocol (OPCAT),Yes,2011
Africa,Algeria,Ratification of Optional Protocol (OPCAT),No,
Africa,Angola,Ratification of Optional Protocol (OPCAT),No,
Africa,Benin,Ratification of Optional Protocol (OPCAT),Yes,2006
Africa,Botswana,Ratification of Optional Protocol (OPCAT),No,
Africa,Burkina Faso,Ratification of Optional Protocol (OPCAT),Yes,2010
Africa,Burundi,Ratification of Optional Protocol (OPCAT),Yes,2013
Africa,Cabo Verde,Ratification of Optional Protocol (OPCAT),Yes,2016
Africa,Cameroon,Ratification of Optional Protocol (OPCAT),No,
Africa,Central African Republic,Ratification of Optional Protocol (OPCAT),Yes,2016
Africa,Chad,Ratification of Optional Protocol (OPCAT),No,
Africa,Comoros,Ratification of Optional Protocol (OPCAT),No,
Africa,Congo,Ratification of Optional Protocol (OPCAT),Yes,2024
Africa,Cote d'Ivoire,Ratification of Optional Protocol (OPCAT),Yes,2023
Africa,Democratic Republic of the Congo,Ratification of Optional Protocol (OPCAT),Yes,2010
Africa,Djibouti,Ratification of Optional Protocol (OPCAT),No,
Africa,Equatorial Guinea,Ratification of Optional Protocol (OPCAT),No,
Africa,Eritrea,Ratification of Optional Protocol (OPCAT),No,
Africa,Ethiopia,Ratification of Optional Protocol (OPCAT),No,
Africa,Gabon,Ratification of Optional Protocol (OPCAT),Yes,2010
Africa,Gambia,Ratification of Optional Protocol (OPCAT),No,
Africa,Ghana,Ratification of Optional Protocol (OPCAT),Yes,2016
Africa,Guinea,Ratification of Optional Protocol (OPCAT),No,
Africa,Guinea-Bissau,Ratification of Optional Protocol (OPCAT),No,
Africa,Kenya,Ratification of Optional Protocol (OPCAT),No,
Africa,Lesotho,Ratification of Optional Protocol (OPCAT),No,
Africa,Liberia,Ratification of Optional Protocol (OPCAT),Yes,2004
Africa,Madagascar,Ratification of Optional Protocol (OPCAT),Yes,2017
Africa,Malawi,Ratification of Optional Protocol (OPCAT),No,
Africa,Mali,Ratification of Optional Protocol (OPCAT),Yes,2005
Africa,Mauritania,Ratification of Optional Protocol (OPCAT),Yes,2012
Africa,Mozambique,Ratification of Optional Protocol (OPCAT),Yes,2014
Africa,Namibia,Ratification of Optional Protocol (OPCAT),No,
Africa,Niger,Ratification of Optional Protocol (OPCAT),Yes,2014
Africa,Nigeria,Ratification of Optional Protocol (OPCAT),Yes,2009
Africa,Rwanda,Ratification of Optional Protocol (OPCAT),Yes,2015
Africa,Sao Tome and Principe,Ratification of Optional Protocol (OPCAT),No,
Africa,Senegal,Ratification of Optional Protocol (OPCAT),Yes,2006
Africa,Seychelles,Ratification of Optional Protocol (OPCAT),No,
Africa,Sierra Leone,Ratification of Optional Protocol (OPCAT),No,
Africa,Somalia,Ratification of Optional Protocol (OPCAT),No,
Africa,South Sudan,Ratification of Optional Protocol (OPCAT),Yes,2015
Africa,Sudan,Ratification of Optional Protocol (OPCAT),No,
Africa,Swaziland,Ratification of Optional Protocol (OPCAT),No,
Africa,Uganda,Ratification of Optional Protocol (OPCAT),No,
Africa,United Republic of Tanzania,Ratification of Optional Protocol (OPCAT),No,
Africa,Zambia,Ratification of Optional Protocol (OPCAT),No,
Africa,Zimbabwe,Ratification of Optional Protocol (OPCAT),No,
Africa,Mauritius,Ratification of Optional Protocol (OPCAT),Yes,2005
Africa,South Africa,Ratification of Optional Protocol (OPCAT),Yes,2019
Africa,Togo,Ratification of Optional Protocol (OPCAT),Yes,2010
Europe,Albania,Ratification of Optional Protocol (OPCAT),Yes,2003
Europe,Andorra,Ratification of Optional Protocol (OPCAT),No,
Europe,Austria,Ratification of Optional Protocol (OPCAT),Yes,2012
Europe,Armenia,Ratification of Optional Protocol (OPCAT),Yes,2006
Europe,Belarus,Ratification of Optional Protocol (OPCAT),No,
Europe,Belgium,Ratification of Optional Protocol (OPCAT),No,
Europe,Bulgaria,Ratification of Optional Protocol (OPCAT),Yes,2011
Europe,Croatia,Ratification of Optional Protocol (OPCAT),Yes,2005
Europe,Cyprus,Ratification of Optional Protocol (OPCAT),Yes,2009
Europe,France,Ratification of Optional Protocol (OPCAT),Yes,2008
Europe,Czech Republic,Ratification of Optional Protocol (OPCAT),Yes,2006
Europe,Denmark,Ratification of Optional Protocol (OPCAT),Yes,2004
Europe,Estonia,Ratification of Optional Protocol (OPCAT),Yes,2006
Europe,Finland,Ratification of Optional Protocol (OPCAT),Yes,2014
Europe,Georgia,Ratification of Optional Protocol (OPCAT),Yes,2005
Europe,Germany,Ratification of Optional Protocol (OPCAT),Yes,2008
Europe,Greece,Ratification of Optional Protocol (OPCAT),Yes,2014
Europe,Holy See,Ratification of Optional Protocol (OPCAT),No,
Europe,Hungary,Ratification of Optional Protocol (OPCAT),Yes,2012
Europe,Iceland,Ratification of Optional Protocol (OPCAT),Yes,2019
Europe,Italy,Ratification of Optional Protocol (OPCAT),Yes,2013
Europe,Ireland,Ratification of Optional Protocol (OPCAT),No,
Europe,Latvia,Ratification of Optional Protocol (OPCAT),Yes,2021
Europe,Liechtenstein,Ratification of Optional Protocol (OPCAT),Yes,2006
Europe,Lithuania,Ratification of Optional Protocol (OPCAT),Yes,2014
Europe,Luxembourg,Ratification of Optional Protocol (OPCAT),Yes,2010
Europe,North Macedonia,Ratification of Optional Protocol (OPCAT),Yes,2009
Europe,Romania,Ratification of Optional Protocol (OPCAT),Yes,2009
Europe,San Marino,Ratification of Optional Protocol (OPCAT),No,
Europe,Serbia,Ratification of Optional Protocol (OPCAT),Yes,2006
Europe,Slovakia,Ratification of Optional Protocol (OPCAT),Yes,2023
Europe,Slovenia,Ratification of Optional Protocol (OPCAT),Yes,2007
Europe,Spain,Ratification of Optional Protocol (OPCAT),Yes,2006
Europe,Sweden,Ratification of Optional Protocol (OPCAT),Yes,2005
Europe,Switzerland,Ratification of Optional Protocol (OPCAT),Yes,2009
Europe,United Kingdom,Ratification of Optional Protocol (OPCAT),Yes,2003
Europe,Malta,Ratification of Optional Protocol (OPCAT),Yes,2003
Europe,Monaco,Ratification of Optional Protocol (OPCAT),No,
Europe,Montenegro,Ratification of Optional Protocol (OPCAT),Yes,2009
Europe,Netherlands,Ratification of Optional Protocol (OPCAT),Yes,2010
Europe,Norway,Ratification of Optional Protocol (OPCAT),Yes,2013
Europe,Poland,Ratification of Optional Protocol (OPCAT),Yes,2005
Europe,Portugal,Ratification of Optional Protocol (OPCAT),Yes,2013
Europe,Republic of Moldova,Ratification of Optional Protocol (OPCAT),Yes,2006
Europe,Russia,Ratification of Optional Protocol (OPCAT),No,
Europe,Turkey,Ratification of Optional Protocol (OPCAT),Yes,2011
Europe,Ukraine,Ratification of Optional Protocol (OPCAT),Yes,2006
Middle East,Bahrain,Ratification of Optional Protocol (OPCAT),No,
Middle East,Egypt,Ratification of Optional Protocol (OPCAT),No,
Middle East,Iran,Ratification of Optional Protocol (OPCAT),No,
Middle East,Iraq,Ratification of Optional Protocol (OPCAT),No,
Middle East,Israel,Ratification of Optional Protocol (OPCAT),No,
Middle East,Jordan,Ratification of Optional Protocol (OPCAT),No,
Middle East,Kuwait,Ratification of Optional Protocol (OPCAT),No,
Middle East,Lebanon,Ratification of Optional Protocol (OPCAT),Yes,2008
Middle East,Libya,Ratification of Optional Protocol (OPCAT),No,
Middle East,Morocco,Ratification of Optional Protocol (OPCAT),Yes,2014
Middle East,State of Palestine,Ratification of Optional Protocol (OPCAT),Yes,2017
Middle East,Oman,Ratification of Optional Protocol (OPCAT),No,
Middle East,Qatar,Ratification of Optional Protocol (OPCAT),No,
Middle East,Saudi Arabia,Ratification of Optional Protocol (OPCAT),No,
Middle East,Syria ,Ratification of Optional Protocol (OPCAT),No,
Middle East,Tunisia,Ratification of Optional Protocol (OPCAT),Yes,2011
Middle East,United Arab Emirates,Ratification of Optional Protocol (OPCAT),No,
Middle East,Yemen,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Afghanistan,Ratification of Optional Protocol (OPCAT),Yes,2018
Asia-Pacific,Australia,Ratification of Optional Protocol (OPCAT),Yes,2017
Asia-Pacific,Azerbaijan,Ratification of Optional Protocol (OPCAT),Yes,2009
Asia-Pacific,Bangladesh,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Bhutan,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Brunei Darussalam,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Cambodia,Ratification of Optional Protocol (OPCAT),Yes,2007
Asia-Pacific,China,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Cook Islands,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Fiji,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Democratic People's Republic of Korea,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,India,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Indonesia,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Japan,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Kazakhstan,Ratification of Optional Protocol (OPCAT),Yes,2008
Asia-Pacific,Kiribati,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Kyrgyzstan,Ratification of Optional Protocol (OPCAT),Yes,2008
Asia-Pacific,Lao People's Democratic Republic,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Marshall Islands,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Malaysia,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Maldives,Ratification of Optional Protocol (OPCAT),Yes,2006
Asia-Pacific,Micronesia,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Mongolia,Ratification of Optional Protocol (OPCAT),Yes,2015
Asia-Pacific,Myanmar,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Nauru,Ratification of Optional Protocol (OPCAT),Yes,2013
Asia-Pacific,Nepal,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,New Zealand,Ratification of Optional Protocol (OPCAT),Yes,2007
Asia-Pacific,Niue,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Palau,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Papua New Guinea,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Pakistan,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Philippines,Ratification of Optional Protocol (OPCAT),Yes,2012
Asia-Pacific,Republic of Korea,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Samoa,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Solomon Islands,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Singapore,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Sri Lanka,Ratification of Optional Protocol (OPCAT),Yes,2017
Asia-Pacific,Tajikistan,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Thailand,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Timor-Leste,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Tonga,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Turkmenistan,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Tuvalu,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Uzbekistan,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Vanuatu,Ratification of Optional Protocol (OPCAT),No,
Asia-Pacific,Viet Nam,Ratification of Optional Protocol (OPCAT),No,
Americas,Antigua and Barbuda,Submission of initial report to CAT ,No,
Americas,Argentina,Submission of initial report to CAT ,Yes,1992
Americas,Bahamas,Submission of initial report to CAT ,No,
Americas,Barbados,Submission of initial report to CAT ,No,
Americas,Belize,Submission of initial report to CAT ,No,
Americas,Bolivia,Submission of initial report to CAT ,Yes,1992
Americas,Brazil,Submission of initial report to CAT ,Yes,2000
Americas,Canada,Submission of initial report to CAT ,Yes,1989
Americas,Chile,Submission of initial report to CAT ,Yes,1992
Americas,Colombia,Submission of initial report to CAT ,Yes,1995
Americas,Costa Rica,Submission of initial report to CAT ,Yes,2000
Americas,Cuba,Submission of initial report to CAT ,Yes,1996
Americas,Dominica,Submission of initial report to CAT ,No,
Americas,Dominican Republic,Submission of initial report to CAT ,No,
Americas,Ecuador,Submission of initial report to CAT ,Yes,1993
Americas,El Salvador,Submission of initial report to CAT ,Yes,1999
