,Region,Country,Indicator,Input,Date,Unnamed: 5,rank
40,Africa,Burundi,Ratification of the UN Convention against Torture,Yes,1993-01-01,,55
41,Africa,Cabo Verde,Ratification of the UN Convention against Torture,Yes,1992-01-01,,34
42,Africa,Cameroon,Ratification of the UN Convention against Torture,Yes,1986-01-01,,95
43,Africa,Central African Republic,Ratification of the UN Convention against Torture,Yes,2016-01-01,,142
44,Africa,Chad,Ratification of the UN Convention against Torture,Yes,1995-01-01,,122
45,Africa,Comoros,Ratification of the UN Convention against Torture,Yes,2017-01-01,,156
46,Africa,Congo,Ratification of the UN Convention against Torture,Yes,,,144
47,Africa,Cote d'Ivoire,Ratification of the UN Convention against Torture,Yes,1995-01-01,,88
48,Africa,Maldives,Ratification of the UN Convention against Torture,Yes,2004-01-01,,25
49,Africa,Democratic Republic of the Congo,Ratification of the UN Convention against Torture,Yes,1996-01-01,,73
50,Africa,Djibouti,Ratification of the UN Convention against Torture,Yes,2002-01-01,,148
51,Africa,Equatorial Guinea,Ratification of the UN Convention against Torture,Yes,2002-01-01,,168
52,Africa,Eritrea,Ratification of the UN Convention against Torture,Yes,2014-01-01,,154
53,Africa,Ethiopia,Ratification of the UN Convention against Torture,Yes,1994-01-01,,104
54,Africa,Gabon,Ratification of the UN Convention against Torture,Yes,2000-01-01,,90
55,Africa,Gambia,Ratification of the UN Convention against Torture,Yes,2018-01-01,,118
56,Africa,Ghana,Ratification of the UN Convention against Torture,Yes,2000-01-01,,83
57,Africa,Guinea,Ratification of the UN Convention against Torture,Yes,1989-01-01,,125
58,Africa,Guinea-Bissau,Ratification of the UN Convention against Torture,Yes,2013-01-01,,167
59,Africa,Kenya,Ratification of the UN Convention against Torture,Yes,1997-01-01,,94
60,Africa,Lesotho,Ratification of the UN Convention against Torture,Yes,2001-01-01,,173
61,Africa,Liberia,Ratification of the UN Convention against Torture,Yes,2004-01-01,,107
62,Africa,Madagascar,Ratification of the UN Convention against Torture,Yes,2005-01-01,,11
63,Africa,Malawi,Ratification of the UN Convention against Torture,Yes,1999-01-01,,149
64,Africa,Mali,Ratification of the UN Convention against Torture,Yes,1999-01-01,,54
65,Africa,Mauritania,Ratification of the UN Convention against Torture,Yes,2004-01-01,,2
66,Africa,Mozambique,Ratification of the UN Convention against Torture,Yes,1999-01-01,,84
67,Africa,Namibia,Ratification of the UN Convention against Torture,Yes,1994-01-01,,82
68,Africa,Niger,Ratification of the UN Convention against Torture,Yes,1998-01-01,,106
69,Africa,Nigeria,Ratification of the UN Convention against Torture,Yes,2001-01-01,,64
70,Africa,Rwanda,Ratification of the UN Convention against Torture,Yes,2008-01-01,,16
71,Africa,Sao Tome and Principe,Ratification of the UN Convention against Torture,Yes,2017-01-01,,140
72,Africa,Senegal,Ratification of the UN Convention against Torture,Yes,1986-01-01,,77
73,Africa,Seychelles,Ratification of the UN Convention against Torture,Yes,1992-01-01,,139
74,Africa,Sierra Leone,Ratification of the UN Convention against Torture,Yes,2001-01-01,,112
75,Africa,Somalia,Ratification of the UN Convention against Torture,Yes,1990-01-01,,136
76,Africa,South Sudan,Ratification of the UN Convention against Torture,Yes,2015-01-01,,145
77,Africa,Sudan,Ratification of the UN Convention against Torture,Yes,2021-01-01,,151
78,Africa,Swaziland,Ratification of the UN Convention against Torture,Yes,2004-01-01,,157
79,Africa,Uganda,Ratification of the UN Convention against Torture,Yes,1986-01-01,,91
80,Africa,United Republic of Tanzania,Ratification of the UN Convention against Torture,No,,,170
81,Africa,Zambia,Ratification of the UN Convention against Torture,Yes,1998-01-01,,108
82,Africa,Zimbabwe,Ratification of the UN Convention against Torture,No,,,165
83,Africa,Mauritius,Ratification of the UN Convention against Torture,Yes,1992-01-01,,44
84,Africa,South Africa,Ratification of the UN Convention against Torture,Yes,2015-01-01,,12
85,Africa,Togo,Ratification of the UN Convention against Torture,Yes,1987-01-01,,13
86,Europe,Albania,Ratification of the UN Convention against Torture,Yes,1994-01-01,,7
87,Europe,Andorra,Ratification of the UN Convention against Torture,Yes,2006-01-01,,99
88,Europe,Austria,Ratification of the UN Convention against Torture,Yes,1987-01-01,,32
89,Europe,Armenia,Ratification of the UN Convention against Torture,Yes,1993-01-01,,59
90,Europe,Belarus,Ratification of the UN Convention against Torture,Yes,1987-01-01,,114
91,Europe,Belgium,Ratification of the UN Convention against Torture,Yes,1999-01-01,,89
92,Europe,Bulgaria,Ratification of the UN Convention against Torture,Yes,1986-01-01,,27
93,Europe,Croatia,Ratification of the UN Convention against Torture,Yes,1992-01-01,,6
94,Europe,Cyprus,Ratification of the UN Convention against Torture,Yes,1991-01-01,,1
95,Europe,France,Ratification of the UN Convention against Torture,Yes,1986-01-01,,63
96,Europe,Czech Republic,Ratification of the UN Convention against Torture,Yes,1993-01-01,,51
97,Europe,Denmark,Ratification of the UN Convention against Torture,Yes,1987-01-01,,52
98,Europe,Estonia,Ratification of the UN Convention against Torture,Yes,1991-01-01,,8
99,Europe,Finland,Ratification of the UN Convention against Torture,Yes,1989-01-01,,18
100,Europe,Georgia,Ratification of the UN Convention against Torture,Yes,1994-01-01,,22
101,Europe,Germay,Ratification of the UN Convention against Torture,Yes,1990-01-01,,62
102,Europe,Greece,Ratification of the UN Convention against Torture,Yes,1988-01-01,,14
103,Europe,Holy See,Ratification of the UN Convention against Torture,Yes,1905-06-24,,127
104,Europe,Hungary,Ratification of the UN Convention against Torture,Yes,1987-01-01,,85
105,Europe,Iceland,Ratification of the UN Convention against Torture,Yes,1996-01-01,,56
106,Europe,Italy,Ratification of the UN Convention against Torture,Yes,1989-01-01,,60
107,Europe,Ireland,Ratification of the UN Convention against Torture,Yes,2002-01-01,,110
108,Europe,Latvia,Ratification of the UN Convention against Torture,Yes,1992-01-01,,35
109,Europe,Liechenstein,Ratification of the UN Convention against Torture,Yes,1990-01-01,,70
110,Europe,Lithuania,Ratification of the UN Convention against Torture,Yes,1996-01-01,,5
111,Europe,Luxembourg,Ratification of the UN Convention against Torture,Yes,1987-01-01,,39
112,Europe,North Macedonia,Ratification of the UN Convention against Torture,Yes,1994-01-01,,31
113,Europe,Romania,Ratification of the UN Convention against Torture,Yes,1990-01-01,,24
114,Europe,San Marino,Ratification of the UN Convention against Torture,Yes,2006-01-01,,169
115,Europe,Serbia,Ratification of the UN Convention against Torture,Yes,2001-01-01,,28
116,Europe,Slovakia,Ratification of the UN Convention against Torture,Yes,1993-01-01,,80
117,Europe,Slovenia,Ratification of the UN Convention against Torture,Yes,1993-01-01,,9
118,Europe,Spain,Ratification of the UN Convention against Torture,Yes,1987-01-01,,21
119,Europe,Sweden,Ratification of the UN Convention against Torture,Yes,1986-01-01,,87
120,Europe,Switzerland,Ratification of the UN Convention against Torture,Yes,1986-01-01,,53
121,Europe,United Kingdom,Ratification of the UN Convention against Torture,Yes,1988-01-01,,23
122,Europe,Malta,Ratification of the UN Convention against Torture,Yes,1990-01-01,,79
123,Europe,Monaco,Ratification of the UN Convention against Torture,Yes,1991-01-01,,121
124,Europe,Montenegro,Ratification of the UN Convention against Torture,Yes,2006-01-01,,36
125,Europe,Netherlands,Ratification of the UN Convention against Torture,Yes,1988-01-01,,45
126,Europe,Norway,Ratification of the UN Convention against Torture,Yes,1986-01-01,,42
127,Europe,Poland,Ratification of the UN Convention against Torture,Yes,1989-01-01,,29
128,Europe,Portugal,Ratification of the UN Convention against Torture,Yes,1989-01-01,,19
129,Europe,Republic of Moldova,Ratification of the UN Convention against Torture,Yes,1995-01-01,,4
130,Europe,Russia,Ratification of the UN Convention against Torture,Yes,1987-01-01,,150
131,Europe,Turkey,Ratification of the UN Convention against Torture,Yes,1988-01-01,,76
132,Europe,Ukraine,Ratification of the UN Convention against Torture,Yes,1987-01-01,,40
133,Middle East,Barhrain,Ratification of the UN Convention against Torture,Yes,1998-01-01,,115
134,Middle East,Egypt,Ratification of the UN Convention against Torture,Yes,1986-01-01,,97
135,Middle East,Iran,Ratification of the UN Convention against Torture,No,,,188
136,Middle East,Iraq,Ratification of the UN Convention against Torture,Yes,2011-01-01,,105
137,Middle East,Israel,Ratification of the UN Convention against Torture,Yes,1991-01-01,,174
138,Middle East,Jordan,Ratification of the UN Convention against Torture,Yes,1991-01-01,,74
139,Middle East,Kuwait,Ratification of the UN Convention against Torture,Yes,1996-01-01,,147
140,Middle East,Lebanon,Ratification of the UN Convention against Torture,Yes,2008-01-01,,71
141,Middle East,Libya,Ratification of the UN Convention against Torture,Yes,1989-01-01,,175
142,Middle East,Morocco,Ratification of the UN Convention against Torture,Yes,1993-01-01,,41
143,Middle East,State of Palestine,Ratification of the UN Convention against Torture,Yes,2014-01-01,,72
144,Middle East,Oman,Ratification of the UN Convention against Torture,Yes,2020-01-01,,153
145,Middle East,Qatar,Ratification of the UN Convention against Torture,Yes,2000-01-01,,98
146,Middle East,Saudi Arabia,Ratification of the UN Convention against Torture,Yes,1997-01-01,,128
147,Middle East,Syria ,Ratification of the UN Convention against Torture,Yes,2004-01-01,,129
148,Middle East,Tunisia,Ratification of the UN Convention against Torture,Yes,1988-01-01,,75
149,Middle East,United Arab Emirates,Ratification of the UN Convention against Torture,Yes,2012-01-01,,123
150,Middle East,Yemen,Ratification of the UN Convention against Torture,Yes,1991-01-01,,111
151,Asia-Pacific,Afghanistan,Ratification of the UN Convention against Torture,Yes,1987-01-01,,68
152,Asia-Pacific,Australia,Ratification of the UN Convention against Torture,Yes,1989-01-01,,57
153,Asia-Pacific,Azerbaijan,Ratification of the UN Convention against Torture,Yes,1996-01-01,,78
154,Asia-Pacific,Bangladesh,Ratification of the UN Convention against Torture,Yes,1998-01-01,,137
155,Asia-Pacific,Bhutan,Ratification of the UN Convention against Torture,No,,,160
156,Asia-Pacific,Brunei Darussalam,Ratification of the UN Convention against Torture,No,,,191
157,Asia-Pacific,Cambodia,Ratification of the UN Convention against Torture,Yes,1992-01-01,,92
158,Asia-Pacific,China,Ratification of the UN Convention against Torture,Yes,1988-01-01,,159
159,Asia-Pacific,Cook Islands,Ratification of the UN Convention against Torture,No,,,192
160,Asia-Pacific,Fiji,Ratification of the UN Convention against Torture,Yes,2016-01-01,,158
161,Asia-Pacific,Democratic People's Republic of Korea,Ratification of the UN Convention against Torture,No,,,183
162,Asia-Pacific,India,Ratification of the UN Convention against Torture,No,,,184
163,Asia-Pacific,Indonesia,Ratification of the UN Convention against Torture,Yes,1998-01-01,,116
164,Asia-Pacific,Japan,Ratification of the UN Convention against Torture,Yes,1999-01-01,,132
165,Asia-Pacific,Kazakhstan,Ratification of the UN Convention against Torture,Yes,1998-01-01,,65
166,Asia-Pacific,Kiribati,Ratification of the UN Convention against Torture,Yes,2019-01-01,,134
167,Asia-Pacific,Kyrgyzstan,Ratification of the UN Convention against Torture,Yes,1997-01-01,,69
168,Asia-Pacific,Lao People's Democratic Republic,Ratification of the UN Convention against Torture,Yes,2012-01-01,,179
169,Asia-Pacific,Marshall Islands,Ratification of the UN Convention against Torture,Yes,2018-01-01,,163
170,Asia-Pacific,Malaysia,Ratification of the UN Convention against Torture,No,,,171
171,Asia-Pacific,Micronesia,Ratification of the UN Convention against Torture,No,,,193
172,Asia-Pacific,Mongolia,Ratification of the UN Convention against Torture,Yes,2002-01-01,,38
173,Asia-Pacific,Myanmar,Ratification of the UN Convention against Torture,No,,,189
174,Asia-Pacific,Nauru,Ratification of the UN Convention against Torture,Yes,2012-01-01,,109
175,Asia-Pacific,Nepal,Ratification of the UN Convention against Torture,Yes,1991-01-01,,93
176,Asia-Pacific,New Zealand,Ratification of the UN Convention against Torture,Yes,1989-01-01,,30
177,Asia-Pacific,Niue,Ratification of the UN Convention against Torture,No,,,194
178,Asia-Pacific,Palau,Ratification of the UN Convention against Torture,No,,,185
179,Asia-Pacific,Papua New Guinea,Ratification of the UN Convention against Torture,No,,,178
180,Asia-Pacific,Pakistan,Ratification of the UN Convention against Torture,Yes,2010-01-01,,96
181,Asia-Pacific,Philippines,Ratification of the UN Convention against Torture,Yes,1986-01-01,,61
182,Asia-Pacific,Republic of Korea,Ratification of the UN Convention against Torture,Yes,1995-01-01,,101
183,Asia-Pacific,Samoa,Ratification of the UN Convention against Torture,Yes,2019-01-01,,138
184,Asia-Pacific,Solomon Islands,Ratification of the UN Convention against Torture,No,,,164
185,Asia-Pacific,Singapore,Ratification of the UN Convention against Torture,No,,,195
186,Asia-Pacific,Sri Lanka,Ratification of the UN Convention against Torture,Yes,1994-01-01,,67
187,Asia-Pacific,Tajikistan,Ratification of the UN Convention against Torture,Yes,1995-01-01,,130
188,Asia-Pacific,Thailand,Ratification of the UN Convention against Torture,Yes,2007-01-01,,81
189,Asia-Pacific,Timor-Leste,Ratification of the UN Convention against Torture,Yes,2003-01-01,,86
190,Asia-Pacific,Tonga,Ratification of the UN Convention against Torture,No,,,196
191,Asia-Pacific,Turkmenistan,Ratification of the UN Convention against Torture,Yes,1999-01-01,,113
192,Asia-Pacific,Tuvalu,Ratification of the UN Convention against Torture,No,,,187
193,Asia-Pacific,Uzbekistan,Ratification of the UN Convention against Torture,Yes,1995-01-01,,131
194,Asia-Pacific,Vanuatu,Ratification of the UN Convention against Torture,Yes,2011-01-01,,181
195,Asia-Pacific,Viet Nam,Ratification of the UN Convention against Torture,Yes,2015-01-01,,141
196,Americas,Antigua and Barbuda,Ratification of Optional Protocol (OPCAT),No,,,161
197,Americas,Argentina,Ratification of Optional Protocol (OPCAT),Yes,2004-01-01,,3
198,Americas,Bahamas,Ratification of Optional Protocol (OPCAT),No,,,155
199,Americas,Barbados,Ratification of Optional Protocol (OPCAT),No,,,182
200,Americas,Belize,Ratification of Optional Protocol (OPCAT),Yes,2015-01-01,,124
201,Americas,Bolivia,Ratification of Optional Protocol (OPCAT),Yes,2006-01-01,,46
202,Americas,Brazil,Ratification of Optional Protocol (OPCAT),Yes,2003-01-01,,26
203,Americas,Canada,Ratification of Optional Protocol (OPCAT),No,,,117
204,Americas,Chile,Ratification of Optional Protocol (OPCAT),Yes,2008-01-01,,37
205,Americas,Colombia,Ratification of Optional Protocol (OPCAT),No,,,102
206,Americas,Costa Rica,Ratification of Optional Protocol (OPCAT),Yes,2005-01-01,,50
207,Americas,Cuba,Ratification of Optional Protocol (OPCAT),No,,,103
208,Americas,Dominica,Ratification of Optional Protocol (OPCAT),No,,,186
209,Americas,Dominican Republic,Ratification of Optional Protocol (OPCAT),No,,,143
210,Americas,Ecuador,Ratification of Optional Protocol (OPCAT),Yes,2010-01-01,,20
211,Americas,El Salvador,Ratification of Optional Protocol (OPCAT),No,,,100
212,Americas,Grenada,Ratification of Optional Protocol (OPCAT),No,,,177
213,Americas,Guatemala,Ratification of Optional Protocol (OPCAT),Yes,,,49
214,Americas,Guyana,Ratification of Optional Protocol (OPCAT),No,,,133
215,Americas,Haiti,Ratification of Optional Protocol (OPCAT),No,,,166
216,Americas,Honduras,Ratification of Optional Protocol (OPCAT),Yes,1996-01-01,,10
217,Americas,Jamaica,Ratification of Optional Protocol (OPCAT),No,,,180
218,Americas,Mexico,Ratification of Optional Protocol (OPCAT),Yes,2005-01-01,,15
219,Americas,Nicaragua,Ratification of Optional Protocol (OPCAT),Yes,2005-01-01,,48
220,Americas,Panama,Ratification of Optional Protocol (OPCAT),Yes,2011-01-01,,58
221,Americas,Paraguay,Ratification of Optional Protocol (OPCAT),Yes,2005-01-01,,47
222,Americas,Peru,Ratification of Optional Protocol (OPCAT),Yes,2017-01-01,,17
223,Americas,Saint Kitts and Nevis,Ratification of Optional Protocol (OPCAT),No,,,152
224,Americas,Saint Lucia,Ratification of Optional Protocol (OPCAT),No,,,176
225,Americas,Saint Vicent and the Grenadines,Ratification of Optional Protocol (OPCAT),No,,,172
226,Americas,Suriname,Ratification of Optional Protocol (OPCAT),No,,,162
227,Americas,Trindad and Tobago,Ratification of Optional Protocol (OPCAT),No,,,190
228,Americas,United States,Ratification of Optional Protocol (OPCAT),No,,,146
229,Americas,Uruguay,Ratification of Optional Protocol (OPCAT),Yes,2005-01-01,,43
230,Americas,Venezuela,Ratification of Optional Protocol (OPCAT),No,,,126
231,Africa,Algeria,Ratification of Optional Protocol (OPCAT),No,,,120
232,Africa,Angola,Ratification of Optional Protocol (OPCAT),No,,,135
233,Africa,Benin,Ratification of Optional Protocol (OPCAT),Yes,2006-01-01,,66
234,Africa,Botswana,Ratification of Optional Protocol (OPCAT),No,,,119
235,Africa,Burkina Faso,Ratification of Optional Protocol (OPCAT),Yes,2010-01-01,,33
236,Africa,Burundi,Ratification of Optional Protocol (OPCAT),Yes,2013-01-01,,55
237,Africa,Cabo Verde,Ratification of Optional Protocol (OPCAT),Yes,2011-01-01,,34
238,Africa,Cameroon,Ratification of Optional Protocol (OPCAT),No,,,95
239,Africa,Central African Republic,Ratification of Optional Protocol (OPCAT),Yes,2016-01-01,,142
240,Africa,Chad,Ratification of Optional Protocol (OPCAT),No,,,122
241,Africa,Comoros,Ratification of Optional Protocol (OPCAT),No,,,156
242,Africa,Congo,Ratification of Optional Protocol (OPCAT),No,,,144
243,Africa,Cote d'Ivoire,Ratification of Optional Protocol (OPCAT),No,,,88
244,Africa,Maldives,Ratification of Optional Protocol (OPCAT),Yes,2006-01-01,,25
245,Africa,Democratic Republic of the Congo,Ratification of Optional Protocol (OPCAT),Yes,2010-01-01,,73
246,Africa,Djibouti,Ratification of Optional Protocol (OPCAT),No,,,148
247,Africa,Equatorial Guinea,Ratification of Optional Protocol (OPCAT),No,,,168
248,Africa,Eritrea,Ratification of Optional Protocol (OPCAT),No,,,154
249,Africa,Ethiopia,Ratification of Optional Protocol (OPCAT),No,,,104
250,Africa,Gabon,Ratification of Optional Protocol (OPCAT),Yes,2010-01-01,,90
251,Africa,Gambia,Ratification of Optional Protocol (OPCAT),No,,,118
252,Africa,Ghana,Ratification of Optional Protocol (OPCAT),Yes,2016-01-01,,83
253,Africa,Guinea,Ratification of Optional Protocol (OPCAT),No,,,125
254,Africa,Guinea-Bissau,Ratification of Optional Protocol (OPCAT),No,,,167
255,Africa,Kenya,Ratification of Optional Protocol (OPCAT),No,,,94
256,Africa,Lesotho,Ratification of Optional Protocol (OPCAT),No,,,173
257,Africa,Liberia,Ratification of Optional Protocol (OPCAT),Yes,2004-01-01,,107
258,Africa,Madagascar,Ratification of Optional Protocol (OPCAT),Yes,2017-01-01,,11
259,Africa,Malawi,Ratification of Optional Protocol (OPCAT),No,,,149
260,Africa,Mali,Ratification of Optional Protocol (OPCAT),Yes,2005-01-01,,54
261,Africa,Mauritania,Ratification of Optional Protocol (OPCAT),Yes,2012-01-01,,2
262,Africa,Mozambique,Ratification of Optional Protocol (OPCAT),Yes,2014-01-01,,84
263,Africa,Namibia,Ratification of Optional Protocol (OPCAT),No,,,82
264,Africa,Niger,Ratification of Optional Protocol (OPCAT),Yes,2014-01-01,,106
265,Africa,Nigeria,Ratification of Optional Protocol (OPCAT),Yes,2009-01-01,,64
266,Africa,Rwanda,Ratification of Optional Protocol (OPCAT),Yes,2015-01-01,,16
267,Africa,Sao Tome and Principe,Ratification of Optional Protocol (OPCAT),No,,,140
268,Africa,Senegal,Ratification of Optional Protocol (OPCAT),Yes,2006-01-01,,77
269,Africa,Seychelles,Ratification of Optional Protocol (OPCAT),No,,,139
270,Africa,Sierra Leone,Ratification of Optional Protocol (OPCAT),No,,,112
271,Africa,Somalia,Ratification of Optional Protocol (OPCAT),Yes,2019-01-01,,136
272,Africa,South Sudan,Ratification of Optional Protocol (OPCAT),Yes,2015-01-01,,145
273,Africa,Sudan,Ratification of Optional Protocol (OPCAT),No,,,151
274,Africa,Swaziland,Ratification of Optional Protocol (OPCAT),No,,,157
275,Africa,Uganda,Ratification of Optional Protocol (OPCAT),No,,,91
276,Africa,United Republic of Tanzania,Ratification of Optional Protocol (OPCAT),No,,,170
277,Africa,Zambia,Ratification of Optional Protocol (OPCAT),No,,,108
278,Africa,Zimbabwe,Ratification of Optional Protocol (OPCAT),No,,,165
279,Africa,Mauritius,Ratification of Optional Protocol (OPCAT),Yes,2005-01-01,,44
280,Africa,South Africa,Ratification of Optional Protocol (OPCAT),Yes,2019-01-01,,12
281,Africa,Togo,Ratification of Optional Protocol (OPCAT),Yes,2010-01-01,,13
282,Europe,Albania,Ratification of Optional Protocol (OPCAT),Yes,2003-01-01,,7
283,Europe,Andorra,Ratification of Optional Protocol (OPCAT),No,,,99
284,Europe,Austria,Ratification of Optional Protocol (OPCAT),Yes,2012-01-01,,32
285,Europe,Armenia,Ratification of Optional Protocol (OPCAT),Yes,2006-01-01,,59
286,Europe,Belarus,Ratification of Optional Protocol (OPCAT),No,,,114
287,Europe,Belgium,Ratification of Optional Protocol (OPCAT),No,,,89
288,Europe,Bulgaria,Ratification of Optional Protocol (OPCAT),Yes,2011-01-01,,27
289,Europe,Croatia,Ratification of Optional Protocol (OPCAT),Yes,2005-01-01,,6
290,Europe,Cyprus,Ratification of Optional Protocol (OPCAT),Yes,2009-01-01,,1
291,Europe,France,Ratification of Optional Protocol (OPCAT),Yes,2008-01-01,,63
292,Europe,Czech Republic,Ratification of Optional Protocol (OPCAT),Yes,2006-01-01,,51
293,Europe,Denmark,Ratification of Optional Protocol (OPCAT),Yes,2004-01-01,,52
294,Europe,Estonia,Ratification of Optional Protocol (OPCAT),Yes,2006-01-01,,8
295,Europe,Finland,Ratification of Optional Protocol (OPCAT),Yes,2014-01-01,,18
296,Europe,Georgia,Ratification of Optional Protocol (OPCAT),Yes,2005-01-01,,22
297,Europe,Germay,Ratification of Optional Protocol (OPCAT),Yes,2008-01-01,,62
298,Europe,Greece,Ratification of Optional Protocol (OPCAT),Yes,2014-01-01,,14
299,Europe,Holy See,Ratification of Optional Protocol (OPCAT),No,,,127
300,Europe,Hungary,Ratification of Optional Protocol (OPCAT),Yes,2012-01-01,,85
301,Europe,Iceland,Ratification of Optional Protocol (OPCAT),Yes,2019-01-01,,56
302,Europe,Italy,Ratification of Optional Protocol (OPCAT),Yes,2013-01-01,,60
303,Europe,Ireland,Ratification of Optional Protocol (OPCAT),No,,,110
304,Europe,Latvia,Ratification of Optional Protocol (OPCAT),Yes,2021-01-01,,35
305,Europe,Liechenstein,Ratification of Optional Protocol (OPCAT),No,,,70
306,Europe,Lithuania,Ratification of Optional Protocol (OPCAT),Yes,1996-01-01,,5
307,Europe,Luxembourg,Ratification of Optional Protocol (OPCAT),Yes,2010-01-01,,39
308,Europe,North Macedonia,Ratification of Optional Protocol (OPCAT),Yes,2009-01-01,,31
309,Europe,Romania,Ratification of Optional Protocol (OPCAT),Yes,2009-01-01,,24
310,Europe,San Marino,Ratification of Optional Protocol (OPCAT),No,,,169
311,Europe,Serbia,Ratification of Optional Protocol (OPCAT),Yes,2006-01-01,,28
312,Europe,Slovakia,Ratification of Optional Protocol (OPCAT),No,,,80
313,Europe,Slovenia,Ratification of Optional Protocol (OPCAT),Yes,2007-01-01,,9
314,Europe,Spain,Ratification of Optional Protocol (OPCAT),Yes,2006-01-01,,21
315,Europe,Sweden,Ratification of Optional Protocol (OPCAT),Yes,2005-01-01,,87
316,Europe,Switzerland,Ratification of Optional Protocol (OPCAT),Yes,2009-01-01,,53
317,Europe,United Kingdom,Ratification of Optional Protocol (OPCAT),Yes,2003-01-01,,23
318,Europe,Malta,Ratification of Optional Protocol (OPCAT),Yes,2003-01-01,,79
319,Europe,Monaco,Ratification of Optional Protocol (OPCAT),No,,,121
320,Europe,Montenegro,Ratification of Optional Protocol (OPCAT),Yes,2009-01-01,,36
321,Europe,Netherlands,Ratification of Optional Protocol (OPCAT),Yes,2010-01-01,,45
322,Europe,Norway,Ratification of Optional Protocol (OPCAT),Yes,2013-01-01,,42
323,Europe,Poland,Ratification of Optional Protocol (OPCAT),Yes,2005-01-01,,29
324,Europe,Portugal,Ratification of Optional Protocol (OPCAT),Yes,2013-01-01,,19
325,Europe,Republic of Moldova,Ratification of Optional Protocol (OPCAT),Yes,2006-01-01,,4
326,Europe,Russia,Ratification of Optional Protocol (OPCAT),No,,,150
327,Europe,Turkey,Ratification of Optional Protocol (OPCAT),Yes,2011-01-01,,76
328,Europe,Ukraine,Ratification of Optional Protocol (OPCAT),Yes,2006-01-01,,40
329,Middle East,Barhrain,Ratification of Optional Protocol (OPCAT),No,,,115
330,Middle East,Egypt,Ratification of Optional Protocol (OPCAT),No,,,97
331,Middle East,Iran,Ratification of Optional Protocol (OPCAT),No,,,188
332,Middle East,Iraq,Ratification of Optional Protocol (OPCAT),No,,,105
333,Middle East,Israel,Ratification of Optional Protocol (OPCAT),No,,,174
